Product Name,Product Price,Product Quantity,Product Brand,Product Category,Product Tag,Product Discount,Link to Product
MASSIMO SANDWICH LOAF W.WHEAT GERM 400G,RM3.50,8,Massimo,"All items,Bakery,Best Seller,Bread,Except Alcohol,Groceries","Bakery,Best Seller,Bread,Massimo,whole wheat",,https://vsj.bites.com.my/collections/groceries/products/massimo-sandwich-loaf-w-wheat-germ-400g
VITAGEN ASST TWIN PACK 2X5X125ML,RM9.90 RM9.78,20,Vitagen,"All items,Beverages,Chilled Juices & Drinks,CNY Fair,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,Milk","Beverages,Chilled Drinks,CNY Fair,Dairy,Fridge,Milk,On Sale,Vitagen",-2%,https://vsj.bites.com.my/collections/groceries/products/vitagen-asst-twin-pack-2x5x125ml
MAGGI CURRY 5X79G,RM6.25 RM5.78,46,Maggi,"All items,Canned Food & Instant Meals,Childhood Memories,Childhood Memories,Except Alcohol,Groceries,Pantry","Childhood Memories,Groceries,Instant Food,Instant Meals,Instant Noodles,Maggi,On Sale,Pantry",-8%,https://vsj.bites.com.my/collections/groceries/products/maggi-curry-5x79g
JASMINE SUNWHITE FRAGRANT RICE 5KG,RM37.05 RM31.88,3,Jasmine,"All items,CNY Fair,Except Alcohol,Groceries,Pantry,Pasta, Rice & Noodles,Rice","CNY Fair,Fragrant Rice,Groceries,Jasmine,On Sale,Pantry,Rice",-14%,https://vsj.bites.com.my/collections/groceries/products/jasmine-sunwhite-fragrant-rice-5kg
VITAGEN LESS SUGAR ASST TWIN PACK 2X5X125ML,RM10.65,9,Vitagen,"All items,Beverages,Chilled Juices & Drinks,Christmas Fair,Cold Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries","Beverages,Chilled Drinks,Christmas Fair,Cultured Milk,Dairy,Fridge,Groceries,Vitagen",,https://vsj.bites.com.my/collections/groceries/products/vitagen-less-sugar-asst-twin-pack-2x5x125ml
MISSION TORTILLA ORIGINAL WRAPS 360G,RM8.60,16,Mission,"All items,Bakery,Bread,Except Alcohol,Groceries","Bakery,Bread,Groceries,Mission",,https://vsj.bites.com.my/collections/groceries/products/mission-tortilla-original-wraps-360g
DUTCH LADY UHT FULL CREAM 3X1L,RM21.70 RM18.88,9999,Dutch Lady,"All items,Beverages,Dairy & Eggs,Except Alcohol,Fridge,Groceries,UHT Milk","Beverages,Dairy,Dutch Lady,Groceries,On Sale,UHT Milk",-13%,https://vsj.bites.com.my/collections/groceries/products/dutch-lady-uht-full-cream-3x1l
ANCHOR WHEAT FLOUR 1KG,RM3.90,62,Anchor,"All items,Baking Ingredients,Except Alcohol,Groceries,Pantry","Anchor,Baking,Flour,Groceries,Pantry",,https://vsj.bites.com.my/collections/groceries/products/anchor-wheat-flour-1kg
ARNOTTS TIM TAM ORIGINAL 200G,RM15.50 RM14.28,30,Arnott's,"All items,Biscuits & Cookies,Christmas Fair,Except Alcohol,Groceries,October Deals,Pantry,Snacks & Sweets","Arnott's,Biscuits,Christmas Fair,Cookies,Groceries,October Deals,On Sale,Pantry,Snacks",-8%,https://vsj.bites.com.my/collections/groceries/products/arnotts-tim-tam-original-200g
GARDENIA NUMEE YELLOW NOODLES 450G,RM2.00,5,Gardenia,"All items,Except Alcohol,Groceries,Pantry","Gardenia,Groceries,Noodle,Pantry",,https://vsj.bites.com.my/collections/groceries/products/gardenia-numee-yellow-noodles-450g
